getNumberOfTraversedClasses,numberOfOwnedClassesTraversed,parentClassInheritsFromAndroidClass,decor,oracle_smelly
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
2,1,true,false,false
1,1,true,false,false
2,1,true,false,false
1,1,true,false,false
1,1,true,false,false
2,1,true,false,false
1,1,true,false,false
2,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
2,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
2,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
2,1,true,false,false
1,1,true,false,false
1,1,true,false,false
2,1,true,false,false
1,1,true,false,false
2,1,true,false,false
1,1,true,false,false
2,1,true,false,false
1,1,true,false,false
2,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
2,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
2,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
2,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
2,0,true,false,false
2,0,true,false,false
1,1,true,false,false
2,0,true,false,false
2,0,true,false,false
1,0,true,false,false
1,1,true,false,false
2,0,true,false,false
1,1,true,false,false
1,0,true,false,false
2,0,true,false,false
1,0,true,false,false
2,0,true,false,false
1,0,true,false,false
2,0,true,false,false
1,0,true,false,false
2,0,true,false,false
1,1,true,false,false
2,0,true,false,false
2,0,true,false,false
2,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
2,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
2,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
2,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,0,true,false,false
1,1,false,false,false
1,0,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,0,false,false,false
1,0,false,false,false
1,0,false,false,false
1,1,false,false,false
1,1,false,false,false
1,0,false,false,false
1,1,false,false,false
1,0,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,0,false,false,false
1,0,false,false,false
1,1,false,false,false
1,0,false,false,false
1,0,false,false,false
1,1,false,false,false
1,0,false,false,false
1,0,false,false,false
1,0,false,false,false
1,1,false,false,false
1,1,false,false,false
1,0,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,0,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,0,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,0,false,false,false
1,0,false,false,false
1,1,false,false,false
1,1,false,false,false
1,0,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,0,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,0,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,0,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
2,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
1,1,false,false,false
